Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
City of Nebraska City,NE,Municipal,4785,15646.0,-1833.0,188342.0,186509.0,36.6,26.2
City of Piqua - (OH),OH,Municipal,9594,28736.9,-1243.0,311319.0,310076.0,60.0,52.0
City of Sabetha - (KS),KS,Municipal,1403,4662.0,-1038.0,50501.0,49463.0,11.0,8.0
City of Osage City - (KS),KS,Municipal,1272,3513.0,-1023.0,34366.0,33343.0,8.3,6.0
City of Augusta - (KS),KS,Municipal,3895,9280.2,-795.0,77358.0,76563.0,21.9,11.7
Indianola Municipal Utilities,IA,Municipal,7291,15025.0,-718.0,131305.0,130587.0,33.2,16.2
City of Wamego - (KS),KS,Municipal,2071,5224.0,-676.0,50501.0,49825.0,13.8,7.6
Glencoe Light & Power Comm,MN,Municipal,2414,9028.5,-523.0,79584.0,79061.0,21.3,10.0
City of Vinton - (IA),IA,Municipal,2128,4621.1,-139.0,41750.0,41611.0,10.6,7.0
City of Mora - (MN),MN,Municipal,1547,5603.3,-113.0,53412.0,53299.0,10.3,8.8
City of Carthage - (MO),MO,Municipal,6527,23558.0,-111.0,299917.0,299806.0,63.0,47.0
New Smyrna Beach City of,FL,Municipal,24229,42634.0,-106.0,436089.0,435983.0,97.0,77.0
City of Pierre - (SD),SD,Municipal,6180,15706.2,0.0,177012.0,177012.0,39.9,35.3
Rock Energy Cooperative,WI,Cooperative,16043,48987.0,0.0,544782.0,544782.0,104.3,91.5
"Robison Energy, LLC",NY,Retail Power Marketer,2596,8331.7,0.0,101018.0,101018.0,23.4,13.0
Roosevelt Public Power Dist,NE,Political Subdivision,2098,7924.0,0.0,65511.0,65511.0,19.1,11.6
"Navasota Valley Elec Coop, Inc",TX,Cooperative,17827,35332.8,0.0,361528.0,361528.0,78.1,92.7
Roanoke Electric Member Corp,NC,Cooperative,12206,34662.0,0.0,287650.0,287650.0,63.9,75.0
"Rita Blanca Electric Coop, Inc",TX,Cooperative,2716,40694.0,0.0,525409.0,525409.0,122.7,51.0
Riverland Energy Cooperative,WI,Cooperative,16658,36018.7,0.0,284854.0,284854.0,63.1,55.8
"Rio Grande Electric Coop, Inc",TX,Cooperative,8607,45460.4,0.0,375145.0,375145.0,89.4,74.2
City of Richland Center - (WI),WI,Municipal,2395,10066.8,0.0,111556.0,111556.0,20.0,14.8
Rice Lake Utilities,WI,Municipal,4662,13573.0,0.0,165419.0,165419.0,31.1,30.1
City of Remsen - (IA),IA,Municipal,690,1581.0,0.0,16382.0,16382.0,3.7,3.2
Petit Jean Electric Coop Corp,AR,Cooperative,17916,30034.0,0.0,302551.0,302551.0,67.1,85.0
Rock Rapids Municipal Utility,IA,Municipal,1114,2362.9,0.0,28994.0,28994.0,6.7,5.3
City of Rockwood - (TN),TN,Municipal,11553,32515.6,0.0,311732.0,311732.0,65.7,76.1
"Roseau Electric Coop, Inc",MN,Cooperative,6133,18768.0,0.0,156222.0,156222.0,25.2,39.8
Renville-Sibley Coop Pwr Assn,MN,Cooperative,1620,14953.4,0.0,178486.0,178486.0,33.1,43.3
Rosebud Electric Coop Inc,SD,Cooperative,4708,8486.3,0.0,90475.0,90475.0,16.2,26.6
