season,episode,speaker,id,scene,deleted,num_words
1,1,Angela,68,14,False,10
1,1,Dwight,3349,693,False,296
1,1,Jan,532,120,False,143
1,1,Jim,5175,982,False,335
1,1,Kevin,69,14,False,4
1,1,Man,132,26,False,5
1,1,Michael,7843,1594,False,1598
1,1,Michel,56,11,False,1
1,1,Oscar,299,63,False,23
1,1,Pam,5927,1129,False,295
1,1,Phyllis,192,38,False,7
1,1,Roy,899,171,False,32
1,1,Ryan,1041,211,False,54
1,1,Stanley,576,116,False,33
1,1,Todd Packer,177,33,False,25
1,2,Angela,1796,96,False,4
1,2,Dwight,7143,284,False,185
1,2,Jim,10449,473,False,366
1,2,Kelly,846,43,False,11
1,2,Kevin,3327,161,False,75
1,2,Michael,31018,1309,False,1740
1,2,Mr. Brown,12097,332,False,467
1,2,Oscar,4899,198,False,70
1,2,Pam,6945,383,False,113
1,2,Ryan,1760,92,False,32
1,2,Stanley,2189,117,False,23
1,2,Toby,764,32,False,17
1,3,Angela,3486,101,False,26
1,3,Dwight,43927,1419,False,782
1,3,Jan,12132,288,False,142
1,3,Jim,28759,834,False,342
1,3,Kevin,4502,166,False,35
1,3,Man on Phone,2097,69,False,33
1,3,Meredith,2234,80,False,35
1,3,Michael,37399,908,False,1090
1,3,Oscar,6510,219,False,53
1,3,Pam,21237,525,False,218
1,3,Ryan,774,30,False,11
1,3,Stanley,4494,166,False,50
1,3,Travel Agent,687,21,False,25
1,4,Angela,6769,105,False,35
1,4,Dwight,59617,1561,False,609
1,4,Everybody,5268,172,False,21
1,4,Jim,49599,1277,False,588
1,4,Kevin,2927,59,False,6
1,4,Meredith,10698,381,False,79
1,4,Michael,82297,2387,False,1485
1,4,Oscar,14742,483,False,98
1,4,Pam,22077,521,False,236
1,4,Phyllis,4793,65,False,41
1,4,Roy,3384,141,False,32
1,4,Ryan,4370,168,False,12
1,4,Stanley,1956,40,False,9
1,4,Toby,4315,159,False,14
1,5,Angela,4257,82,False,31
1,5,Darryl,20485,268,False,103
1,5,Dwight,34642,323,False,147
1,5,Everybody,1298,10,False,2
1,5,Jim,30310,417,False,219
1,5,Kevin,1322,10,False,7
1,5,Lonny,7081,132,False,38
1,5,Madge,4265,82,False,13
1,5,Michael,144868,1896,False,1874
1,5,Michael and Dwight,1395,18,False,2
1,5,Oscar,2799,46,False,16
1,5,Pam,19250,248,False,139
1,5,Phyllis,5260,35,False,27
1,5,Roy,17151,327,False,77
1,5,Ryan,10707,113,False,40
1,5,Stanley,3924,30,False,10
1,5,Teammates,1391,18,False,1
1,5,Warehouse Worker,1551,49,False,8
1,5,Warehouse worker,2811,44,False,9
1,5,Worker,7244,170,False,26
1,6,Angela,5443,84,False,18
1,6,Dwight,48015,499,False,243
1,6,Jan,12568,8,False,71
1,6,Jim,98280,1400,False,536
1,6,Katy,103082,1225,False,332
1,6,Kevin,8231,46,False,24
1,6,Michael,181757,1792,False,1529
1,6,Oscar,1641,10,False,4
1,6,Pam,78581,921,False,221
1,6,Roy,24426,292,False,98
1,6,Ryan,21884,345,False,63
1,6,Stanley,5329,72,False,22
1,6,Toby,11592,84,False,23
2,1,Angela,6748,173,False,22
2,1,Chili's Employee,2237,54,False,37
2,1,Darryl,2129,28,False,6
2,1,Dwight,83694,1270,False,375
2,1,Employee,2229,51,False,16
2,1,Everybody,2198,45,False,2
2,1,Guy At Bar,4373,88,False,8
2,1,Guy at bar,2181,43,False,3
2,1,Jan,18462,117,False,106
2,1,Jim,72077,1398,False,292
2,1,Kelly,17079,267,False,53
2,1,Kevin,2112,25,False,10
2,1,Michael,225773,3163,False,1787
2,1,Oscar,8725,171,False,73
2,1,Other Guy at Bar,2183,43,False,7
