barrrr	name	director	writer	air date	code	rating
1	1	"Pilot"	Ken Kwapis	Ricky Gervais & Stephen Merchant and Greg Daniels	March 24, 2005	1001	11.20[16]
2	2	"Diversity Day"	Ken Kwapis	B. J. Novak	March 29, 2005	1002	6.00[17]
3	3	"Health Care"	Ken Whittingham	Paul Lieberstein	April 5, 2005	1006	5.80[18]
4	4	"The Alliance"	Bryan Gordon	Michael Schur	April 12, 2005	1004	5.40[19]
5	5	"Basketball"	Greg Daniels	Greg Daniels	April 19, 2005	1005	5.00[20]
6	6	"Hot Girl"	Amy Heckerling	Mindy Kaling	April 26, 2005	1003	4.80[16]
7	1	"The Dundies"	Greg Daniels	Mindy Kaling	September 20, 2005	2003	9.00[16]
8	2	"Sexual Harassment"	Ken Kwapis	B. J. Novak	September 27, 2005	2002	7.13[28]
9	3	"Office Olympics"	Paul Feig	Michael Schur	October 4, 2005	2004	8.30[29]
10	4	"The Fire"	Ken Kwapis	B. J. Novak	October 11, 2005	2001	7.60[30]
11	5	"Halloween"	Paul Feig	Greg Daniels	October 18, 2005	2006	8.00[31]
12	6	"The Fight"	Ken Kwapis	Gene Stupnitsky & Lee Eisenberg	November 1, 2005	2007	7.90[32]
13	7	"The Client"	Greg Daniels	Paul Lieberstein	November 8, 2005	2005	7.50[33]
14	8	"Performance Review"	Paul Feig	Larry Wilmore	November 15, 2005	2009	8.00[34]
15	9	"Email Surveillance"	Paul Feig	Jennifer Celotta	November 22, 2005	2008	8.10[35]
16	10	"Christmas Party"	Charles McDougall	Michael Schur	December 6, 2005	2010	9.70[16]
17	11	"Booze Cruise"	Ken Kwapis	Greg Daniels	January 5, 2006	2013	8.70[36]
18	12	"The Injury"	Bryan Gordon	Mindy Kaling	January 12, 2006	2011	10.30[37]
19	13	"The Secret"	Dennie Gordon	Lee Eisenberg & Gene Stupnitsky	January 19, 2006	2014	8.70[38]
20	14	"The Carpet"	Victor Nelli, Jr.	Paul Lieberstein	January 26, 2006	2012	8.60[39]
21	15	"Boys and Girls"	Dennie Gordon	B. J. Novak	February 2, 2006	2015	5.42[16]
22	16	"Valentine's Day"	Greg Daniels	Michael Schur	February 9, 2006	2016	8.95[40]
23	17	"Dwight's Speech"	Charles McDougall	Paul Lieberstein	March 2, 2006	2017	8.40[41]
24	18	"Take Your Daughter to Work Day"	Victor Nelli, Jr.	Mindy Kaling	March 16, 2006	2018	8.80[42]
25	19	"Michael's Birthday"	Ken Whittingham	Gene Stupnitsky & Lee Eisenberg	March 30, 2006	2019	7.80[43]
26	20	"Drug Testing"	Greg Daniels	Jennifer Celotta	April 27, 2006	2022	7.80[44]
27	21	"Conflict Resolution"	Charles McDougall	Greg Daniels	May 4, 2006	2020	7.40[45]
28	22	"Casino Night"†	Ken Kwapis	Steve Carell	May 11, 2006	2021	7.60[16]
