points,topic
2,python
2,python

2,hist
3,hist
2,regression
2,regression
2,regression
2,boundsclt

2,regression
2,regression
3,python
4,python
4,regression

2,knn
2,knn
2,knn
2,knn

3,bootstrap
2,regression
3,regression
2,bootstrap
4,python
4,bootstrap
3,bootstrap

2,graph
2,graph
2,table
2,table
3,table
3,table
5,table
6,table
3,misc
2,graph
3,regression
2,graph
3,regression
2,regression
2,regression

6,ab
4,ab
4,hyptest
4,hyptest
3,hyptest
3,hyptest

6,table
2,graph
3,table
2,hyptest
3,hyptest
4,hyptest

2,probability
2,probability
3,probability
3,probability
3,boundsclt
3,boundsclt
