season,episode,overall_episode,speaker,num_words
1,1,1,Angela,
1,1,1,Dwight,
1,1,1,Jan,
1,1,1,Jim,
1,1,1,Kevin,
1,1,1,Michael,
1,1,1,Oscar,
1,1,1,Pam,
1,1,1,Phyllis,
1,1,1,Roy,
1,1,1,Ryan,
1,1,1,Stanley,
1,1,1,Todd Packer,
1,2,2,Angela,
1,2,2,Dwight,
1,2,2,Jim,
1,2,2,Kelly,
1,2,2,Kevin,
1,2,2,Michael,
1,2,2,Oscar,
1,2,2,Pam,
1,2,2,Ryan,
1,2,2,Stanley,
1,2,2,Toby,
1,3,3,Angela,
1,3,3,Dwight,
1,3,3,Jan,
1,3,3,Jim,
1,3,3,Kevin,
1,3,3,Meredith,
1,3,3,Michael,
1,3,3,Oscar,
1,3,3,Pam,
1,3,3,Ryan,
1,3,3,Stanley,
1,4,4,Angela,
1,4,4,Dwight,
1,4,4,Jim,
1,4,4,Kevin,
1,4,4,Meredith,
1,4,4,Michael,
1,4,4,Oscar,
1,4,4,Pam,
1,4,4,Phyllis,
1,4,4,Roy,
1,4,4,Ryan,
1,4,4,Stanley,
1,4,4,Toby,
1,5,5,Angela,
1,5,5,Darryl,
1,5,5,Dwight,
1,5,5,Jim,
1,5,5,Kevin,
1,5,5,Michael,
1,5,5,Oscar,
1,5,5,Pam,
1,5,5,Phyllis,
1,5,5,Roy,
1,5,5,Ryan,
1,5,5,Stanley,
1,6,6,Angela,
1,6,6,Dwight,
1,6,6,Jan,
1,6,6,Jim,
1,6,6,Kevin,
1,6,6,Michael,
1,6,6,Oscar,
1,6,6,Pam,
1,6,6,Roy,
1,6,6,Ryan,
1,6,6,Stanley,
1,6,6,Toby,
2,1,7,Angela,
2,1,7,Darryl,
2,1,7,Dwight,
2,1,7,Jan,
2,1,7,Jim,
2,1,7,Kelly,
2,1,7,Kevin,
2,1,7,Michael,
2,1,7,Oscar,
2,1,7,Pam,
2,1,7,Phyllis,
2,1,7,Roy,
2,1,7,Ryan,
2,1,7,Stanley,
2,2,8,Angela,
2,2,8,Darryl,
2,2,8,Dwight,
2,2,8,Jan,
2,2,8,Jim,
2,2,8,Kevin,
2,2,8,Meredith,
2,2,8,Michael,
2,2,8,Pam,
2,2,8,Phyllis,
2,2,8,Roy,
2,2,8,Ryan,
2,2,8,Stanley,
2,2,8,Toby,
2,2,8,Todd Packer,
2,3,9,Angela,
2,3,9,Dwight,
2,3,9,Jim,
2,3,9,Kevin,
2,3,9,Meredith,
2,3,9,Michael,
2,3,9,Oscar,
2,3,9,Pam,
2,3,9,Phyllis,
2,3,9,Ryan,
2,3,9,Stanley,
2,4,10,Angela,
2,4,10,Dwight,
2,4,10,Jim,
2,4,10,Kelly,
2,4,10,Kevin,
2,4,10,Meredith,
2,4,10,Michael,
2,4,10,Oscar,
2,4,10,Pam,
2,4,10,Phyllis,
2,4,10,Roy,
2,4,10,Ryan,
2,4,10,Stanley,
2,5,11,Angela,
2,5,11,Creed,
2,5,11,Dwight,
2,5,11,Jim,
2,5,11,Kelly,
2,5,11,Kevin,
2,5,11,Michael,
2,5,11,Oscar,
2,5,11,Pam,
2,5,11,Phyllis,
2,5,11,Ryan,
2,5,11,Stanley,
2,6,12,Angela,
2,6,12,Dwight,
2,6,12,Jim,
2,6,12,Kelly,
2,6,12,Kevin,
2,6,12,Michael,
2,6,12,Pam,
2,6,12,Ryan,
2,6,12,Stanley,
2,6,12,Toby,
2,7,13,Dwight,
2,7,13,Jan,
2,7,13,Jim,
2,7,13,Kelly,
2,7,13,Kevin,
2,7,13,Michael,
2,7,13,Oscar,
2,7,13,Pam,
2,7,13,Phyllis,
2,7,13,Roy,
2,7,13,Ryan,
2,7,13,Toby,
2,8,14,Angela,
2,8,14,Creed,
2,8,14,Dwight,
2,8,14,Jan,
2,8,14,Jim,
